ABDENAGO ALVES DE BARROS               ; 9335188048662483;2014;2018
ALEXANDRE CESAR GURGEL FERNANDES       ;8791056897839415;2014;2018
ANA SHIRLEY FERREIRA DA SILVA          ;2132614695901416;2014;2018
ANTONIO CAMINHA MUNIZ NETO             ;5282912733531690;2014;2018
ANTONIO GERVASIO COLARES               ;5359713401964014;2014;2018
CLEON DA SILVA BARROSO                ;7350699249432317;2014;2018
DIEGO RIBEIRO MOREIRA                   ;1912187013775217;2014;2018
ERNANI DE SOUSA RIBEIRO JUNIOR          ;1299070184304880;2014;2018
FABRICIO SIQUEIRA BENEVIDES             ;4695081445531168;2014;2018
FLORENTIU DANIEL CIBOTARU               ;9222199357628548;2014;2018
FREDERICO VALE GIRAO                    ;7809688968627587;2014;2018
GLEYDSON CHAVES RICARTE                 ;9302856579770473;2014;2018
GREGORIO PACELLI FEITOSA BESSA          ;1113531859811863;2014;2018
JOAO LUCAS MARQUES BARBOSA              ;324108631716021;2014;2018
JONATAN FLORIANO DA SILVA               ;9138070947314282;2014;2018
JORGE HERBERT SOARES DE LIRA            ;1873757687453531;2014;2018
JOSE EDERSON MELO BRAGA                 ;0499138914431785;2014;2018
JOSE EDSON SAMPAIO                      ;6304141157764577;2014;2018
JOSE FABIO BEZERRA MONTENEGRO           ;1270947513791152;2014;2018
JOSE OTHON DANTAS LOPES                 ;2451592641376001;2014;2018
JULIO CESAR SILVA ARAUJO                ;7659965567201224;2014;2018
LEVI LOPES DE LIMA                      ;5686283061097960;2014;2018
LUQUESIO PETROLA DE MELO JORGE          ;1999855370737290;2014;2018
MARCO MAGLIARO                          ;8165397116012242;2014;2018
MARCOS FERREIRA DE MELO                 ;5162031037556851;2014;2018
RAIMUNDO ALVES LEITAO JUNIOR            ;8215131433128354;2014;2018
RODRIGO LUCAS RODRIGUES                 ;4378909283633515;2014;2018
VINCENT JEAN HENRI GRANDJEAN            ;2751874611495347;2014;2018
YURI GOMES LIMA                         ;4912847441632780;2014;2018
